#{"t_start": 1677953427.991905, "env_id": null}
r,l,t
220.46,28,13.90379
156.8,35,13.920744
25.46,24,13.932713
81.07,24,13.94468
151.0,26,13.958643
630.37,40,13.97859
9.05,25,13.990559
1405.89,44,14.0125
483.73,30,14.02746
62.34,28,14.041423
231.87,27,14.055386
-21.04,23,14.067376
771.99,28,14.082313
220.43,26,14.095279
456.69,33,14.112253
276.2,25,14.125225
-28.03,26,14.138163
309.96,24,14.165093
627.92,41,14.186035
670.73,30,14.201027
690.11,35,14.217983
-390.47,26,14.231914
642.14,28,14.245876
66.31,26,14.257844
-139.45,25,14.27081
154.68,31,14.285768
61.24,29,14.30073
393.67,26,14.316686
332.17,23,14.330648
356.46,24,14.343646
598.68,43,14.370543
1454.4,47,14.39451
250.06,30,14.409462
150.32,24,14.421406
674.58,28,14.435368
206.27,25,14.448333
333.68,24,14.460301
230.69,27,14.473268
97.99,29,14.488226
173.76,23,14.500226
308.43,26,14.513187
-20.37,28,14.526154
2.9,26,14.540116
1111.37,42,14.560061
149.03,30,14.575024
563.46,47,14.598958
104.79,23,14.609931
391.51,31,14.624888
489.29,28,14.638854
-49.19,33,14.65581
989.94,46,14.692712
132.38,23,14.703682
219.8,28,14.717645
302.47,25,14.73061
206.06,28,14.74454
78.27,30,14.761497
83.12,29,14.775458
-286.09,41,14.795406
-91.18,33,14.811362
298.35,33,14.828318
98.06,25,14.840286
708.18,34,16.088945
291.16,31,16.108891
1073.94,47,16.139807
253.39,30,16.156763
-2.09,27,16.170725
347.72,48,16.195661
278.06,36,16.218597
543.16,45,16.255498
988.33,40,16.281429
256.8,29,16.296389
737.98,39,16.315339
-64.74,34,16.332325
541.7,38,16.351243
279.63,34,16.36823
239.6,25,16.380167
892.93,25,16.393132
467.5,37,16.411084
1057.93,37,16.430031
704.21,40,16.44998
303.81,25,16.476908
357.34,29,16.49087
788.31,60,16.52079
168.61,23,16.53176
443.77,33,16.548716
518.49,38,16.567665
269.38,29,16.581626
226.41,38,16.600575
17.74,35,16.61753
706.12,30,16.632492
60.52,36,16.650444
516.01,39,16.669393
-110.7,30,16.684352
365.46,27,16.698315
98.85,27,16.711307
559.71,47,16.734218
524.69,23,16.746188
136.47,25,16.761177
1721.32,54,16.792066
1121.44,50,16.819991
1708.31,43,16.84193
439.76,27,16.857889
965.69,39,16.877836
329.86,28,16.892795
510.38,41,16.91274
86.47,29,16.933685
207.26,27,16.947648
335.78,29,16.96161
413.12,38,16.981557
84.82,33,17.013472
976.56,40,17.035414
407.23,25,17.048378
582.79,40,17.075307
366.38,48,17.102236
566.76,27,17.119188
1455.67,45,17.145143
771.06,45,17.168082
115.11,36,17.188005
-199.27,31,17.203963
452.61,23,17.21593
2218.17,71,18.60621
1218.15,46,18.645106
-46.67,34,18.665054
348.81,31,18.682015
-140.51,30,18.699959
188.69,27,18.722897
640.58,24,18.743842
372.36,29,18.763788
429.19,25,18.776753
1589.3,73,18.812658
94.45,29,18.826653
147.49,31,18.841613
371.97,25,18.85358
588.97,53,18.891447
380.55,30,18.907474
40.7,24,18.919472
68.42,28,18.933434
59.53,26,18.962326
104.65,28,18.977322
252.32,24,18.989285
27.38,25,19.002242
494.29,31,19.017202
-46.15,28,19.031142
1507.77,60,19.062087
244.73,26,19.07405
-76.33,30,19.088986
9.99,30,19.103977
682.31,31,19.118943
1066.91,33,19.134892
538.21,34,19.151841
52.37,36,19.169801
321.64,27,19.18473
425.0,23,19.196698
2351.51,56,19.224622
-180.1,32,19.240582
-136.56,28,19.255541
1565.89,43,19.277481
746.22,37,19.29643
211.1,23,19.307401
1128.81,35,19.33034
1635.43,64,19.372228
661.34,39,19.399156
-257.68,30,19.415113
298.67,31,19.4321
243.97,23,19.446031
211.07,46,19.468003
260.15,35,19.501882
243.15,28,19.515845
988.28,40,19.534792
101.84,32,19.550751
-149.65,28,19.564714
-20.66,29,19.579674
9.57,25,19.591642
405.76,38,19.610592
-51.88,26,19.623557
449.53,24,19.635525
495.43,32,19.651482
626.79,30,19.666442
1310.86,46,19.68938
847.47,53,20.849277
103.78,24,20.869225
568.2,28,20.893161
2158.91,54,20.927069
47.75,29,20.944055
-90.42,23,20.962974
409.41,51,21.000872
923.52,61,21.044753
1073.96,71,21.079692
309.74,34,21.096647
466.06,35,21.113607
436.0,30,21.12853
122.55,23,21.139532
690.13,36,21.157484
38.53,26,21.170454
46.36,26,21.182386
1763.17,47,21.221313
125.64,23,21.232285
666.53,55,21.260176
571.9,42,21.281122
255.22,24,21.293089
1774.45,62,21.324008
2461.22,57,21.35293
3255.12,68,21.38687
-30.71,30,21.401798
1398.94,44,21.423764
353.7,48,21.447713
160.23,26,21.460674
3201.0,102,21.510539
176.25,26,21.523505
192.96,36,21.541455
414.6,24,21.553424
271.5,30,21.568353
289.11,30,21.583344
2536.91,85,21.624235
880.83,72,21.660139
349.77,24,21.673105
1916.43,65,21.720977
178.49,23,21.731947
-88.67,41,21.751894
1615.53,39,21.770844
792.4,47,21.794779
1039.1,61,21.82367
2582.33,65,21.855584
181.25,77,21.89251
2228.07,63,21.922438
134.4,23,21.934405
1964.64,46,23.171064
-171.46,66,23.205971
944.58,33,23.227946
2488.77,93,23.28476
-21.54,50,23.324653
80.27,33,23.354574
1499.92,43,23.379507
14.2,26,23.392473
761.13,105,23.444366
1170.66,40,23.464313
993.0,36,23.498222
81.13,31,23.513182
92.41,33,23.529146
1231.28,52,23.55507
227.54,23,23.568025
502.8,34,23.584992
227.43,25,23.596958
-70.74,30,23.612885
1002.42,32,23.62887
44.47,25,23.640841
207.12,25,23.653807
90.89,23,23.664782
1475.56,97,23.713615
1627.39,42,23.73459
99.3,31,23.750547
77.85,32,23.766473
153.04,26,23.779439
168.98,24,23.79041
1521.19,54,23.817336
882.54,35,23.835288
355.62,26,23.848253
210.36,26,23.861219
116.95,26,23.874186
2234.14,51,23.899117
1893.61,50,23.924052
347.98,34,23.941005
1357.11,51,23.966938
301.89,37,23.984889
137.49,25,24.012815
2256.03,53,24.038743
730.38,31,24.053705
442.48,26,24.066669
2572.41,58,24.095593
144.45,26,24.108558
846.8,38,24.127507
190.94,24,24.139476
1180.87,53,24.165405
2484.88,56,24.193331
457.74,27,24.206297
3901.8,105,24.259155
3582.42,93,25.497349
-170.37,28,25.513308
192.39,29,25.53026
93.3,26,25.547215
1042.79,46,25.584116
473.46,29,25.600074
2572.74,98,25.652933
1235.81,34,25.66989
224.96,23,25.681855
174.46,27,25.696815
236.24,27,25.710811
442.92,42,25.746721
354.21,26,25.759683
248.66,28,25.773644
698.2,75,25.810543
-354.48,128,25.873343
478.78,32,25.889333
75.1,25,25.901303
378.93,54,25.928232
